CHAPTER 1

Houston, Texas	
		“Busted with somebody else’s dope,” Fred scolded as they drove out of the parking lot. “Son, are you tryin’ to ruin your future? I know I’ve said this a thousand times, but I’ll say it once more, I wish you wouldn’t hang out with Billy. Just look where it’s got you now! There’s not a college in this state that’s gonna give a scholarship to a football player busted for drugs!”
		“Well, maybe I’ll just skip college ball and go straight for the pros. I’ll bet the Texans would want me. Would that make you proud, Daddy? I mean, you always wanted your little boy to play football, but you know what? I don’t give a fuck about it!”

	The coach was sitting at his desk looking over some papers when Steve came in his office and sat down in the chair in front of him. “You wanted to see me, Coach?”
	The coached looked over at Steve and sighed. He shook his head and ran his fingers through his hair. “I can’t have any of my players busted for dope. Everybody in the district is laughin’ at us now. Now, I’m sure that you’ve got one hell of a story to tell me, but do you know what? I don’t want to hear it.” He sat there for a moment looking Steve over. “You know what all this means, don’t you? It means that you’re off the team.”
		Steve’s face turned bright red and his lips started to tremble. “Off the team?” he asked with his temper rising.
		The coach nodded yes.
		“Come on, Coach, can’t you give me another chance? I’m the best defensive player you’ve got!”
		“You let me down, Steve. Not only did you let me down, you let the team and the school down.” He took a deep breath and sighed. “You had lots of potential. They way you were playin’ this year would’ve gotten you a scholarship to any school in this state and you threw it all away just to smoke some dope!” He took a deep sigh one more time looking at Steve. “Now, get the hell out of my office. I don’t even wanna look at you!”
		Steve slowly got up and walked to the door. He hesitated there for a moment and looked at the coach as if there was he wanted to say, but he walked out the door without another word.

		Steve stopped his Mustang in front of Beverly’s house and got out. He walked to the door and rang the doorbell. Beverly answered the door with a surprised look on her face and smiled nervously. “What are you doin’ here? I thought you were grounded.”
		“I am and I’m also kicked off the football team and expelled from school,” he said as if he were proud of it.
		“I’m expelled too,” she nervously laughed. “My parents just about had a cow over this.”
		“You know what I say? I say, fuck ‘em! I don’t care how long they keep me out of school and I don’t care how long my parents ground me. My old man can’t keep me at home and he knows it!” He pulled a joint out of his shirt pocket and held it out for Beverly to take.
		She refused to take the joint as she cautiously stepped out on the porch with him looking both ways down the street as if she expected someone to drive up at any time. “I’d like to party with you, Steve, but my Dad is gonna be home in a couple of minutes and he’ll be madder than hell if you’re here. Both of my parents are plenty pissed about us all getting busted and my Dad told me that I can’t see you anymore.”
		Steve’s face turned red when he heard the news. “That son of a bitch,” he shouted. “Don’t he know that we’ll see each other any fuckin’ time that we want to?” He shook his head. “I’ll kick his fuckin’ old ass if he fucks with me!”
		She did not care to hear his rants. “Steve, please go! Let’s don’t get into any more trouble than we already are. Go home, please!”
		Steve thought for a moment with his face glowing red from anger. “Well, fuck you and your Daddy, bitch!” He quickly turned and walked back to his car. Beverly stood there on the porch for a moment watching him confused at his behavior and then went back inside the house.

		Fred and Tammy were having dinner with their other children, Carl, Keith and Holly. Steve was the oldest at seventeen, Carl was fifteen, Keith was thirteen and Holly was ten. While they were eating, Steve came barging in through the front door. “Son,” Fred began, but Steve cut him off.
		“I know, I know, I’m grounded, but I had to go out and do a few things and see a few people,” Steve said quickly.
		“So what you’re trying to tell us is that you were out looking for a joint?” Keith asked snidely.
		Carl laughed and the remark angered Steve. “Fuck you, you little prick!”
		“Dammit, Steve, watch your filthy mouth in front of your Mother and sister,” Fred angrily reprimanded. “I will not have that kind of vile talk in this house!”
		“Steve, what on earth makes you say things like that?” Tammy asked her son. 
		Steve just looked at her and coolly shrugged his shoulders.
		“Get upstairs to your room. Your Mother will bring you a plate when the family finishes eating.”
		Steve just stood there giving him a go to hell look before slowly turning and walking up the stairs.
		“For the life of me, I can’t figure out what’s in that boy’s head,” Fred told the rest of the family once Steve was in his room.
		After dinner, Tammy came upstairs carrying a plate and knocked on Steve’s door. “Steve, is it alright if I come in? I brought you some dinner.”
		“Sure, I’m just in here jackin’ off,” he laughed from inside his room.
		Tammy opened the door and found him lying on his bed watching TV. “I hope you like it. It’s a new recipe.”
		Steve just laid there never taking his eyes off of the TV. “Sit it over there. Maybe, I’ll eat it later.”
		“Aren’t you hungry, dear?”
		“No, I’m not hungry.”
		“Well, you need to eat.”
	Steve finally looked over at her. “What for, so I can become a fat pig like you?”
		Tammy stood there looking at him with her feelings hurt. “Steve, why do you act this way? You act like you hate your whole family.”
		“Maybe, I do,” he said and turned back to watch his TV.
		With tears rolling down her cheeks, Tammy shook her head and walked out of the room.
		Keith was in his room busily playing a video game on his PS3 when Steve suddenly walked in. Keith glanced over at him and continued on with his game as Steve walked over to him and grabbed the controller out of his hands. “What kind of crack was that at dinner when I came home?”
		“Nothing,” Keith answered nervously. He had faced the wrath of Steve many times before. “I was just kiddin’ around.”
		Steve threw the controller back at him hitting him in the forehead. “I didn’t think it was funny, asshole! I’m in enough trouble already without your little wise ass remarks, so keep your fuckin’ mouth shut!”
		“Okay,” Keith said rubbing his forehead with tears in his eyes.
		Steve walked out of Keith’s room, down the hall back to his own room where he found Fred waiting there for him. 
		“Where’s you car keys?” Fred asked him.
		Steve shrugged his shoulders. “I don’t know.”
		“Don’t lie to me, son, just give me the keys.”
		“What for?”
		I bought you that damned car thinking it would help bring you out of whatever your problem is, but now I see that it’s only adding to your problems,” Fred explained. “I’m taking the car back because you don’t deserve it.!” He stopped for a moment and sighed. “I don’t know what you’re going through, son, but I’ve bent over backwards trying to please you and I’m damned tired of it. You just don’t give a damned about what your Mother and I tell you, you just do whatever the hell you want to do and to hell with everybody else.”
		Steve pulled the keys from his pants pocket and threw them at Fred. “Stick ‘em up your ass!”
		Furious, Fred rushed over and slapped his son hard across the face. “You’re not going to talk to me and your Mother like that! She’s downstairs crying because of what you said to her when she brought your dinner up here. And, you’re going to act decent around your brothers and sister too or you’re gonna get out of this house. Do you understand, Steve? I’ll not have it!” He took a deep breath trying to regain his composure. “It’s your fault and not our’s that you got kicked off the football team and expelled from school, so there’s no reason for you to treat us all like shit! Now, if you’ll work with me, son, I’ll get you back in school and I’ll hire the best lawyers I can find to represent you when your trial comes around, but you’re gonna have to work with me, son. Agreed?”
		Steve stared at him for a moment and nodded his head knowing that was exactly what Fred wanted him to do. “I’m sorry, Dad.”
		“Now, go apologize to your Mother for the way you’ve been acting.”
		Steve forced a fake smile at him and walked to the door.


  CHAPTER 2

	There was something that Fred wanted to tell the family as they settled down at the dining room table for dinner. It was news that he was rather excited about. “I have some great news for all of you tonight,” he said smiling. “The oil company is sending us to Saudi Arabia for a few months.”
		All of the kids were excited except for Steve who was visibly upset as he slammed his fork down on the table. “I’m just two months from graduating high school!”
		“Don’t worry, Steve, I’ve taken care of everything,” Fred told him hoping to calm him down. “I can’t take you out of the country while you’re on felony probation so I made arrangements for you to live with your Aunt Betty and you can finish out the rest of your school year there in Sonora. I thought you might consider going on to Angelo State University after your graduate.”
		Steve looked over at him as if he had lost his mind. As usual, his face had turned red from anger. “That’s all the way out in West Texas! What the fuck am I gonna do out there?” He scooted his chair back so he could get up from the table. “This is fuckin’ typical, the fuckin’ oil company sending you off somewhere just a few months before I get out of high school and I’ll bet you didn’t say a damned thing about it. Did you? You gutless wonder! I’ll bet you just said, “oh, yes, sir, I’ll move my family to Saudi, get let me go home and pack!” He quickly got up from the table and stormed out of the dining room. The rest of the family just sat there looking at each other for a moment wondering if there was going to be more of his outburst.
		“He’ll be alright after he warms up to the idea,” Fred reassured them. “I’m afraid that he doesn’t have any choice.”
		“So, when do we leave, Dad?” asked Holly.
		Fred cleared his throat. “Three weeks.”
		Tammy forced a smile, she was not particularly excited about going to Saudi, but she would support her husband’s decision.
		“I can’t wait to get over there with all of them rag heads,” Keith said.
		“A friend of mine calls them sandniggers,” Carl added and quickly saw that his Mother disapproved of the word and so he thought that he had better explain himself. “Well, my friend’s brother is in the army over in Iraq and he says that’s what they call ‘em over there.”
		The sounds of Steve coming back down the stairs ended the conversation. They all watch as he headed for the front door. “Where do you think you’re going?” Fred asked him.
		“None of your fuckin’ business,” Steve answered as he opened the door and slammed it on his way out.
		“Boy, he’s an asshole,” Keith told his Dad.
		“Watch your language at the table,” Fred corrected him. “There’s no need for all of us to talk dirty just because Steve does.”

	 	Steve and Billy were riding around in Billy’s car listening to music and smoking a joint. “My old man is such an asshole, I hate that son of a bitch and the dog that he’s married to,” Steve vented to his friend. “If he thinks I’m gonna go out to West Texas to live while the rest of them go to Saudi, he’s got another thing comin’! I ain’t goin’ out to that cowshit place. No fuckin’ way!”
		“Parents are such a drag, man. If my old man and lady wasn’t such shit for brains, I’d let you stay at my house, but I know if I even fuckin’ mention it, they would freak the fuck out,” Billy told him. “As soon as I graduate, I’m gonna get me a job and live out on my own and do whatever the hell I want to for the rest of my fuckin’ life.”
		“I heard that and when I do get on my own, I’m gonna tell my parents fuck you and I don’t ever wanna see your fuckin’ ugly faces again,” Steve said.

		Fred opened the door to Steve’s bedroom before he went to work the next morning and found Steve still asleep. “I need to talk with you, Steve, wake up” He waited for Steve to wake and sit up in bed. “I waited up for you last night, but fell asleep before you got in.” Steve sat in the bed rubbing his face and then looked over at him. “I hope that you’re not too upset about having to go out to West Texas, I can think of no other solution. This will just work out better for all of us. I’d like to take you with us to Saudi Arabia, but the probation people just wouldn’t have it. I was lucky to persuade them to let you go to Sonora, but when you get there, you’ll have to report in to the probation people there. They said that they would take care of the paperwork.”
		“I ain’t goin’ to Aunt Betty house,” Steve protested.
		“Steve, it will just be for a few weeks until you graduate. Then you can do what you want to. Why don’t you try Angelo State out? I hear they have a pretty good football team. You could try out for the team.”
		Steve gave him a cold, hard, look. “Fuck football, I don’t ever wanna play again. That’s your dream, not mine.”
		“Well, what would you like to do, son?”
		Steve sighed, but did not reply.
		“You have no plans. Am I right?”
		Steve looked up at him. “You’re right, you’re always right, Daddy,” he said sarcastically.
		“I’ll be at school this afternoon to make arrangements for your transfer. Meet me at the principal’s office at three,” Fred instructed.
		“Whatever,” Steve rolled his eyes and laid back down.

		Fred and Steve are sitting inside Principal Lewinski’s office talking about the transfer and Steve’s future. It was all about Steve, but he was not participating other than just listening. He acted bored and as if he could not care less. 
		“Oh, the problem has never been about Steve’s grades, his scores are consistently good,” Lewinski told Fred. “I find that his main problem, as far as my dealings with him, is his attitude. He seems to have a devil may care outlook on life.” He looked over at Steve who sighed and looked away.
		“His Mother and I hope that he’ll grow out of the phase that he’s going through right now,” Fred told him and smiled over at his son. “Maybe this little trip out to West Texas will be just what the doctor ordered.”
		“I hope you’re right about that,” Lewinski smiled at him. He stood up to shake Fred’s hand. “Good luck to the both of you.”
		“Thank you, sir.”
		Lewinski extended his hand to shake with Steve, but he just looked at him and turned away. His actions embarrassed Fred and he turned to follow him out of the principal’s office. He stopped at the door and turned to Lewinski forcing a smile on his face. “Once again, thank you, sir” He walked out and closed the door behind him.
		Fred hurried to catch up with Steve who was walking down the hall. “Just what was that in there, Steve? Why wouldn’t you shake that man’s hand?”
		“He’s a prick and I didn’t wanna shake his hand,” Steve answered indifferently.
		“And I suppose that you’re not?”
		Steve shrugged his shoulders.
		“Steve, your Mother and I have done everything on God’s green earth for you trying to please you. You’ve always had the best of everything. I make good money and you’ve always had good clothes, the latest toys, beautiful houses to live in, but this is where the gravy train stops, son. I’m sending you out to Aunt Betty’s with five hundred dollars for you to live on for the next few months and then after that, you’re on your own. You can go out and get a job and a place of your own because I am through giving you the shirt off of my back. If you want help, you’re gonna have to make an effort. You’re going to have to enroll in college and work part time. You’re gonna have to show me that you care about something. For once in your life, you’re gonna have to show me that you care! You’re gonna have to try and make an effort!”
		They walked out the front doors of the school and toward the parking lot. “And I’ve got some more news for you, Steve. I’m selling the Mustang before I leave.”
		Steve stopped in his tracks angry at his Father. “Hey, that’s my fuckin’ car!”
		“Wrong, son, it’s my fuckin’ car. I bought and paid for it and I’ll do what I want with it and what I want is to sell it!”
		“Well, how am I supposed to get around?” Steve shouted at him.
		“I’ll buy you a bus ticket to Sonora and from there, you’ll either have to walk or get a ride from somebody,” Fred told him. “You’ll have to find a job so you can buy a car.”
		“Well, thank you, Daddy,” Steve mocked him.
		“Like I said, son. The gravy train is over.”




CHAPTER 3

SONORA, TEXAS
		Aunt Betty, was an attractive woman in his mid fifties, widowed for five years and lived alone since. She was a lonely woman and eagerly accepted when Fred called with his idea of Steve coming to stay with for a couple of months. She waited at the bus station until she saw the bus arrive and got out of her car to greet her new guest. She watched as the passengers got off the bus and it took her a moment to recognize Steve, but when she did, she rushed over to greet him. “Steve?’ she asked uncertain of herself.
		“That’s me,” he smiled at her.
		She laughed and threw her arms around him. “How you’ve grown! I didn’t even know you when I first saw you!” She took him by the hand and led him to her car. 
		“I’m sorry for the inconvenience and I promise that I’ll be gone as soon as I graduate,” he told as they got in the car.
		“I’m glad to have you, Steve,” she said getting in the car. “I didn’t hesitate one bit telling your Daddy to send you on out here.”
		“I promise that I won’t be any trouble,” he told her.
		“I know you won’t be. Besides, it’ll be nice to have someone around the house to talk to,” she said as they pulled out on the street to go home. “It’s been pretty quiet around here since your Uncle Frank died.”

		Steve carried his bag inside and followed Betty down the hall. She stopped and pointed inside a bedroom. “This will be your room. I want you to get in there and make yourself at home.”
		“Thanks,” he said as he stepped inside the room.
	“I’ll give you awhile to get settled in,” she told him. “If you need anything, I’ll be in the last room down the hall.”
		Steve looked around his new room. It was not as nice as he was used to at home, but it would do. The house looked like it was built back in the Fifties and Betty kept in dark in there. All the drapes and blinds were shut tight; there was hardly any sunlight anywhere in the house. He unpacked his bags and hung his clothes in the closet. He was not able to bring many of his possessions with him, but he did manage to take Carl’s PSP without him noticing. He sat down on the bed and turned the game on. The next thing he knew, Betty was calling him for dinner.
		“Your Daddy always was a workaholic,” she told him as they ate. “Even when we were kids he stayed busy all the time. If he wasn’t doing his homework, he was outside playing, but oh, no, he never called it playing. I think it was because you can associate fun with playing.”
		“He’s still the same way,” Steve said. “He lives to work. We normally don’t see him at all until it’s time for dinner. He expects the family to be at the dinner table and eat together every night. And Mom, she never did do anything other than be a housewife.”
		“Why should she?’ Betty asked. “Fred always made more than enough money with the oil company. Of course, who am I to talk? I haven’t lifted a finger since Frank died.” She stopped talking for a moment and watched Steve finish his meal. “Why don’t you take my car and go out for a little drive around town while I clean up the kitchen? The kids here all run up and down the streets looking for something to do. Who knows? You might meet some of them.”
		Steve took her up on her generosity and after an hour later, he was still driving around town trying to find a good radio station. There was not any and so he turned the radio off and continued driving around on the almost deserted streets. He shook his head. “This is just a great place,” he said to himself. “I fuckin’ hate it!”

		Bored with life in West Texas and homesick for Houston, Steve came home from school to find Betty’s house even darker than she usually kept it. He had to stand by the door for a few minutes after walking outside in the sunshine for his eyes to adjust to the dimly lit room. Betty was sitting on the couch smoking a cigarette, listening to music and having a mixed drink. “How about a little after school drink?” she asked smiling.
		Steve walked in and sat his books down of the coffee table. “Sure,” he said sitting down on the couch with her.
		“Is rum and Coke okay?”
		He nodded as he looked around the dark living room. Betty poured his drink and handed it over to him. “What’s the occasion?”
		“There’s no occasion, I just felt like having a little party,” she answered. “Your Father told me that you’re no stranger to parties.”
		“Well, I have been to known to party a few times,” he smiled.
		“Are you much of a boozehound? I mean, I don’t want to force you into something that you don’t want to do.”
	“Don’t worry about me,” Steve said and then gulped down all of his drink. He handed it back to Betty who fixed him another one. She smiled as he handed him the drink.
		“May I be blunt?” she asked as she sat down close to him.
		“Sure.”
		“You’re sure a good looking boy and someday, you’ll make a damned fine looking man,” she smiled. “I’ve just got to ask you this question. Have you ever considered having sex with an older woman?”
		Her question surprised Steve. “You mean you? But you’re my aunt!”
	Betty laughed and leaned over rubbing his muscular chest. “I’m not asking you to marry me so I can have your children. I just thought that since it’s just me and you living here that we might figure out a little something to do for a little entertainment.” She slid her hand up his thigh and began to rub his crotch area. She moved in to kiss him, but he turned away.
		“This is freakin’ me out,” he laughed nervously.
		“Okay, well, we just won’t kiss.”
		Minutes later, they were in Betty’s bedroom having sex. Steve does not last long; he pounded his way to a quick orgasm and rolled off Betty leaving her unsatisfied. “That was good, baby, but I can see that I’m gonna have to give you some lessons on how to please a lady.”

		Steve was in study hall watching a girl named Patty who noticed him looking at her and smiled at him. It took a few minutes of looking back and forth at each other before he worked the nerve to talk to her. “So, what’s your last name Patty, Cake?
		Patty laughed and looked around for the teacher. “It’s Woods, Patty Woods.”
		“So, do you wanna get a Coke or something after school?”
		“Sure.”
		The teacher heard them talking and looked up. “People, I remind you that there is no talking allowed in here.”
		Luckily, Patty had a car. She drove Steve over to the local Sonic and ordered drinks. “So, how long have you lived here?” he asked.
		“Forever.”
		“That’s a real drag. This is the most boring place I’ve ever been to in my life. I’m outta here as soon as I can get back to Houston.”
		“Well, there’s fun to be had around here. You just gotta know where to look,” she told him.
		He laughed. “Yeah, right!”
		“No, really!”
		“Hey, my Aunt has taken me through the caverns already,” he grinned.
		“San Angelo has a lot of things to do and it’s less than an hour away and then there’s Del Rio. Have you ever been into Old Mexico?” she asked and then suddenly laughed. “It’s a trip!”
		“Okay, you’re hired. You can be my official tour guide while I’m here,” he teased smiling.

	Patty was a nice girl and she made Steve’s stay in Sonora more enjoyable. His resentment toward his family faded a great deal over the next few weeks and he was beginning to feel like a regular guy which was something new for him because as far back as he could remember, he had never felt like a regular guy. A regular guy except for the fact that he was sleeping with his fifty five year old aunt on a daily basis.
	Graduation day finally rolled around. Steve felt like he had accomplished something in his life as he walked forward the night of the ceremony and got his diploma while Aunt Betty sat proudly in the audience.

	Aunt Betty was awakened on that graduation night by a bump and a crash that came from Steve’s room. Curious, she got out of bed and went to investigate. She slowly made her way down the hall to Steve’s room. The closer she got to his bedroom door the more apparent it became to her that he was inside having sex with someone. She stood at the door listening while feelings of a jealous rage swelled up inside of her. She suddenly opened the door to find Steve and Patty in bed having sex. She was furious as the two of them looked at her with the look of total surprise on their faces. “Get that little tramp out of my house,” she screamed at Steve.
	Steve reached behind them and pulled the sheet over their bodies. He was visibly upset and embarrassed with his face turning that familiar red color. “Don’t you ever knock?” 
	“I don’t have to knock, this is my house. The both of you get your clothes on and get the hell out,” she shouted hysterically. “The very idea of this,” she scolded Steve. “I take you into my house and treat you like royalty and this is how you repay me? If sex was all you wanted, all you had to do was come to my room!” She looked over at Patty who was still lying on the bed covered with the sheet. “Did Steve tell you that he and I were lovers?” She suddenly laughed. “I taught him everything he knows!”
	“Shut up, you old bitch,” he screamed at her.
	“So, I’m an old bitch now, am I?” she asked. “You didn’t seem to think was last night when I was giving you a blow job for an early graduation present!”
	Patty had heard enough, she wrapped the sheet around her and got out of the bed. “You people are sick,” she shouted at the both of them. “You’ve been screwin’ your own aunt?” she asked Steve with tears rolling down her face.
	“I can explain,” he told her. “It didn’t mean anything!”
	Betty rushed over and slapping him over and over again about the head, face and shoulders. “I’ve cooked for you, I’ve cleaned up after you, I’ve done your laundry, I’ve fucked you and sucked your dick and this is how you repay me?” 
	“Shut up,” Steve shouted pushing her away, but she continued to try and hit him.
	“I’ve even let you have my car so you would have something to drive this little bitch around in!”
	“Shut up!” He pushed her back as hard as he could and she almost fell, but she came right back at him.
	“I want you out of my house! Get your things and get out!”
	Steve lost control and slapped her. “I’m not goin’ nowhere until I’m ready,” he shouted.
	Patty had gotten dressed while they were fighting and started walking out of the room to leave. “I’m getting out of here.”
	Steve suddenly grabbed her and pushed her back against the wall. “Nobody’s goin’ anywhere!”
	Patty had never seen him like this before. His face was beet red and his hands were trembling.
	Aunt Betty was even more furious at Steve for hitting her. “You stupid little shit, get out or I’ll call the cops!”
	Steve lunged toward her and started slapping her over and over again. She tried to run away, but he chased after her in the hall and when he caught her, he beat her all the way to her bedroom.
	Patty quietly stepped out in the hall. She could hear Betty crying and begging him to stop hitting her. “Oh, please stop, Steve! Please don’t hit me anymore!” Patty ran down the hall and out of the house.

	Steve was in Betty’s car waiting in line in Acuna, Mexico at the border crossing waiting to get back into Del Rio. A border guard looked the car over as he pulled into her check station. “Do you have anything to declare?” he asked Steve as he rolled his window down.
	“Nope, all I’m bringin’ back is some sexually transmitted disease,” Steve joked.
	The border guard failed to see the humor and did not crack a smile. He pointed to a parking area. “Pull your car over there,” he ordered.
	“What for?” Steve asked.
	“Please do as you’re told, sir.”
	Steve shook his head and pulled the car into the parking area. The border guard kept a close eye on him and called his supervisor on his radio. “Sir, I think I’ve found that stolen vehicle that we saw the bulletin on.”

	It was visiting day at the Sutton County jail and Steve was lying on his bunk reading a book when he heard someone walk up to his cell. It was Aunt Betty. The bruises on her face were still visible and her eyes were still blackened from Steve’s beating. 
	He smiled and sat up on his bunk. “Hey, Auntie, I’m glad you came to see me.” He stood up and walked over to the bars. “I’m sorry, I really am. I didn’t mean to do it. I just lost control,” he said thinking that if he were really nice that she would drop the charges against him.
	Betty looked at him with pity on her face. “I just had to come down here and see you one last time even if it was against my attorney’s advice. I owe that much to your Father. I’m going to leave you fifty dollars downstairs so you can buy whatever you need in here from the commissary. The jailer downstairs told me that there’s no telling how long you would be in here if you don’t plead guilty and this thing goes to trial. So, maybe, those fifty dollars will tide you over until then. This is the last time that I’ll be seeing you, so please, don’t call or write.”
	Steve looked at her for a moment and started forcing himself to cry thinking that it would play on her sympathy. “You mean you’re not going to drop the charges? They got me on a class A assault and unauthorized use of a motor vehicle. They’re gonna send me to the pen if you don’t drop the charges.”
	“I’m sorry, I can’t do that.”
	“Why?”
	She looked at him as if she could not believe what she was hearing. “Because you beat the hell out of me, stole my money and my car and took off to Mexico,” she said with her voice rising from anger.
	“I’m sorry,” he cried. “Come on, give me a break!”
	“I’ve already given you all the breaks that I’m goin’ to,” she said shaking her head. “You got yourself into this mess; you’re going to have to get yourself out. I’ve already written your Father and told him what happened. I’m waiting to hear back from him.”
	“I’ll bet that you left out the part about you fuckin’ me, huh?”
	She nodded. “Yes, I thought that it would be best if you told him that part yourself.” She turned and started walking away. “Goodbye, Steve.”
	“Aunt Betty, please drop the charges,” he called out after her. “You bitch,” he shouted when there was no response. 
	
	
CHAPTER 4 

Walls Unit
Huntsville, Texas
	With a guard at his side, the buzzer sounded the cell door opened and Steve stepped into his cell for the first time. The guard walked away as soon as the cell door slammed shut again and Steve was left alone with his new cellmate, Willie Wells. Willie was a slender convict with absolutely no hair on the top of his head. He was sitting on his bunk reading a letter and looked up and smiled when Steve walked in. “Hey, it’s about time these sons of bitches got me a new roommate!” He got up to step over shake hands with Steve and then stepped back to his bunk. “What have they got you in here for?” he asked as he sat back down.
		“I stole a car and beat somebody up,” Steve answered.
		“So, you’re a bad ass, huh? 
	“What are you in for?” Steve asked.
		“Hell, this son of a bitch is my second home. I love it here! This is my third trip. This time, it was cattle rustlin’. This son of a bitch called me and asked me to haul some cattle to the market for him and I did,” he laughed. “I just had the check made out in my name instead of his, that’s all.” He leaned over and reached under his pillow pulling out a Polaroid snapshot. He handed it to Steve to look at. It was a picture of an ugly, nude woman pleasuring herself with a dildo. “That’s my old lady,” he said. “Would you want a date with her?”
		Steve shook his head no and handed the snapshot back to him.
	“Hell, I don’t want a date with that bitch either,” laughed Willie. “Livin’ with her makes me glad that I came back down here to this damned place!”
	
	Prison life was not as bad as Steve thought it would be. It was too structured for him, but he adjusted. He stayed away from the gangs and different groups and minded his own business. He did not want anything or anyone to interfere with his plans of getting an early release, so he tried his best to be a model inmate. He went to work in the laundry and was doing a fine job there. For the first time in his life, he enjoyed working mainly because it was something to do to break the monotony of prison life.
	Steve pushed his basket full of freshly laundered blankets into the supply room where two other inmates, Hank and Robbie were working. “Here’s your blankets,” Steve smiled trying to be friendly.
	Hank looked up at him. “Well, you know where they go, bitch!”
	“I wish you guys wouldn’t call me that,” Steve said.
	“Well, what are you gonna do about it, bitch?” Hank asked glaring at him.
	Steve stood there with his face turning red from anger and humiliation, but did not say a word. He was afraid of these two big guys. He had heard rumors that they were homosexual as well as just plain mean.
	Robbie looked over at him. “What’s the matter, bitch? Are you thinking about kickin’ our asses or something?” He watched Steve closely. “You look like a prime piece of ass to me. All young and muscled up, I’ll bet you got a tight little asshole.”
	“Get back there and put up those blankets,” Hank shouted at Steve. “You know good and damned well where they go!”
	Steve stood there a moment longer and then quickly pushed his buggy by them and went back to the blanket room and began stacking them there. Hank and Robbie followed after him and watched the whole time he was working. “I just wanna do my job,” Steve told them as he stacked the last of the blankets. “I don’t want no trouble.”
	Hank and Robbie glanced over at each other and smiled and then back to Steve. It was a perfect time to take advantage of him since they were all alone in the blanket room with no supervision. “How about some of that little ass of your’s?” Robbie asked Steve.
	Steve shook his head no and attempted to push his empty buggy past them. Hank suddenly grabbed him around the arms in a bear hug as he walked by and Robbie hit him several times in the abdomen. Hank then body slammed him hard down on the concrete floor and Robbie kicked him several times. “How does that feel, bitch?” he shouted as he kicked him.
	Hank started tearing at Steve’s clothes trying to pill his pants down, Steve was trying to fight back, but both of them were beating him and they continued to beat on his until they beat him into submission. Both men raped him and when they were finished with him, they left him lying on the floor beaten, bruised and crying.
