Janell Rhiannon
Uncross the Stars

Copyright @ 2014 by Janell Rhiannon
All rights reserved. No part of this publication may be reproduced or transmitted in any form or by any means, electronic or mechanical, including photocopying, recording, or any information storage device without permission in writing from the publisher or author. 
*
This book is a work of fiction. References to historical events and people, or real locales are used fictitiously. Other names, characters, places, and incidents are the product of the author’s imagination, and any resemblance to actual events or persons or locales, living or dead, is entirely coincidental. 
*
Kindle 1st Edition 
Cover Design by @ Regina Wamba of Mae I Design 
Edited by Melissa @ There For You Book Editing and Review 
*
You can follow the author at:
Janell Rhiannon @Facebook
Twitter @theravenangel
www.janellrhiannon.com

Acknowledgments
Whenever you sit and write for hours, days, months...you get sick of it. You get sick of your own story, of editing, of sitting...and you begin to doubt that you can finish the book. The saving grace for a writer is that precious handful of people who cheer you on any way they can. They let you ramble, vent, and send texts with sad faces. I’m sure that when I was at my wit’s end for the hundredth time, they wished I’d just finish the book. But, they let me continue the process and encouraged me along the way. So, to this little group who helped me push through Uncross the Stars, I give you my deepest gratitude. 
*
Jim, Nathan, Wesley, and Verni
And in a place of honor, for your assistance 
and a special brand of encouragement
Joy

Chapter 1
At midnight, Fiona and her mother finally pulled into the driveway of their new rental. Her mom cut the engine, but not the parking lights.
	“Looks like we made it, Fee.”
	Ten years ago, when her mother decided in her typical impulsive fashion to get married to Dominic, some guy she barely knew, two important things happened. Her mom had a huge yard sale and lion-bear became her best friend. Fiona hated the yard sale because she watched bits and pieces of her life walk away, like her little Star Wars figurines, her too small ballet shoes, and her favorite Beauty and the Beast comforter. She had cried so hard that her mom bought her a new stuffed animal. The instant she saw him she’d loved him because he promised with his fuzzy black nose to her neck that he’d never leave her. She named him lion-bear because he was a lion, but soft like a teddy bear. She had whispered all her secrets into his fuzzy ears.
	Within days of the dreaded yard sale and the purchase of her beloved companion, they had packed up the remaining pieces of wreckage from their life in Sierra Crest, crammed them into the car, and drove two hundred miles northwest to Watsonville never to look back.
	At the time, Fiona’s mother reassured her that Dominic epitomized fun and happy, and most important of all he had a job and promised to take care of them. They’d been struggling for months, going without electricity or water more than once, because her mom couldn’t keep a steady job. Her mom always made a game out of the darkness and the droughts. She said it was good to find the silver lining in the rain clouds. Usually, that meant her mom reading to her by candle light.
	“Here we are again, Mr. Lion-Bear. Back where we started,” Fiona said to the worn stuffed animal in her lap. “This time better be different. If my mom meets another guy, I swear I’ll never talk to her again. I’m so absolutely sick of moving. Sick of changing schools.”
	Moving to Watsonville was supposed to have been a fresh start for Fiona and her mother, but once they got there the beautiful dream quickly eroded into a familiar disaster. Dominic turned out to be as flaky as all the rest of the men her mom dated. Fiona couldn’t believe anyone could be worse at holding down a regular job than her mother, but Dominic proved otherwise. Dominic also turned out to be some kind of moody jerkwad. Weeks before Fiona’s mom had decided to leave for good, he had been diagnosed as bi-polar—which answered a lot of questions, but the damage had been done. Her mom packed them up to move again. She promised Fiona life would be different this time if they went back to Sierra Crest and recovered the life they dumped years ago.	
	“I hope Mom’s being honest with herself. I want to finish my senior year at the same school. I don’t think I can take moving one more time.” She plopped Mr. Lion-Bear on her bed. “We need some blankets, little friend.” She opened another box marked FIONA’S ROOM and pulled out a well-worn quilt. “This’ll do.” Fiona smoothed it on the top mattress, blew out the candle and lay down exhausted. “God, I hope she’s being honest with herself.”

Chapter 2
Ryan turned the alarm off and stared through the dark at the ceiling. He hated O-dark thirty wake-up for morning weight training. He kicked off the blankets, swung his feet around to the edge of the bed and sat up in the cool air. He leaned over digging his elbows into his knees, and placed his head in his hands. This wasn’t how he wanted to start his senior year...another year of chasing Dario around the field. Ever since they were kids, he’d been trailing Dario. He was always good, but never good enough to surpass Dario’s natural talent. 
	Their football rivalry developed into a decade long friendship. They’d been practically inseparable for most of their childhoods. It was a comfortable fit until they hit high school. He’d trained himself to love Dario for his athleticism, his easy going manner, and his mom’s cooking, but secretly he envied his best friend’s entire life. Lately, he’d felt that envy cooling his friendship for Dario. 
	Ryan walked into the polished black and white marble bathroom. The slick floor was cold under his bare feet. He turned the light on to brush his teeth and shave his face. He squeezed a small glob of hair gel into his palm and rubbed his hands together. He spiked his blonde hair and flashed a smile at himself.  Ryan knew he was good-looking and he used it to his complete advantage. He’d become a master at lining multiple girls up, and juggling them so smoothly they never suspected they weren’t the only side girl he had. Love and sex ended up being the only arena he dominated and Dario lagged. Every chance Ryan got to harass Dario about sex and girls, he took. He enjoyed watching Dario squirm about something. 
	When Ryan got to the kitchen, his mother was already dressed and working with her phone glued to her ear. She acknowledged his entrance with a slight nod but didn’t stop her conversation. 
	“Look, Sam. I have to have those documents on my desk by nine...I don’t care if your wife is out of town. I suggest you call her and find out where she filed them.” Ryan’s mom turned toward him and shook her head about her client. 
	He walked over to the coffee pot and poured a cup. He stood leaning with his back against the counter, waiting for his mom to get off the phone.  
	“Sam. Sam. Holy shit. Would you stop talking? If I don’t get those financials, then I can’t prepare the response the judge requested. Look, I’m not kidding. I’m not accepting your excuses...I understand...you need to understand the ramifications...is that a baby crying in the background? Hire a nanny, Sam. It’s worth it to keep the squalling brats out of your hair.” She paused long enough to mouth to Ryan, “Make me some eggs, would you?” 
	Ryan nodded. She indicated over easy with toast, while her client Sam rambled on in her ear. He wished he was at Dario’s house getting breakfast made for him, instead of slaving away taking care of his mother’s breakfast. He hated that she was an attorney. He got the pan out and the eggs and began making her breakfast. 
	She ended her phone call. “Sorry, baby.”
	“For what, Mom?” Ryan flipped the eggs and pushed the bread down in the toaster. 
	“For not being a Susie-Homemaker.”
	“No, you’re not.”
	She laughed. “You got me there. I’m surprised I even had kids.”
	Ryan winced a little, but his mom didn’t appear to notice. He slid the eggs onto a plate. The toast popped up. “You want butter?”
	She sat at the counter. “No toast, baby. I need to cut down on the bad carbs. Bread is bad carbs.”
	“Sure.” Ryan served her plate. 
	His mom held her cup out to Ryan. “Hey, can you warm up my coffee?”
	“Sure.” Ryan refilled her mug and handed it back to her. 
	She took a sip. “You’re on your own again for dinner. I left a twenty on the refrigerator. Sally won’t be by to pick up the shopping until tomorrow, so—”
	“Thanks. I’m used to it. Don’t worry about it.”
	“Okay, baby.” 
	“Mom, stop calling my baby. I hate that.”
	“I’ve been calling you that your whole life.”
	“I hate it.”
	“Well, I don’t.” She cut into her eggs. “These are perfect, baby.”
	Ryan wanted to throw the spatula at her head. She never listened to him. In the end, she always ignored whatever he wanted, unless of course it required money. She threw money at him out of guilt. It pissed him off that even her guilt at not really wanting to be a mother had a price that she set and paid. 
	His mother wiped her mouth, took one last swig of her coffee and left her dirty plate and mug on the counter. “Do you mind, baby? I have to get going or I’ll be late for the conference call.” 
	Ryan shook his head. What did it matter to answer? He knew from repeated experience that she was going to leave her dishes there regardless of his answer. 
	“Sure.”
	“Thanks, baby.” She picked up her briefcase sitting on the counter and swept herself from the kitchen like it was on fire. 
	Ryan stood in the empty kitchen staring at nothing. “Damn. What a bitch.” He cleared her dishes, finished his coffee and headed off to school.  
***
Fiona hated the first day at a new school, and having to change schools for her senior year felt particularly brutal. She checked her schedule against the room number on the door: D-5. “Here we go,” she said to no one. She opened the door and walked into the room hugging her binder against her chest. The teacher was riffling through some papers at her podium. To her horror, her feet and her head began to argue.
	Feet: Just turn and run.
	Head: No.
	Feet: She’s not looking!
	Head: No.
	Feet: It’s going to be boring. Look at all the lame school boys and girls in here.
	Head: Don’t judge.
	She backed toward the door. Fiona’s feet were winning the debate. The bell rang, and Fiona nearly jumped out of her skin. Her binder hit the floor. The teacher looked up, and so did everyone else in the room—all of them zeroed in on her. She wanted to die on the spot.
	“Miss?” the teacher drew out the question, indicating she required an immediate answer.
	“Lavender.”
	“Miss Lavender, please take a seat. That was the tardy bell.”
	Fiona nodded her head, picked up her binder, hugged her books a little closer and surveyed the room. There was one empty chair in the second row behind a broad shouldered guy.
	“Miss Lavender, I’m waiting to begin class.”
	Pockets of laughter erupted around the room. Mercifully, the girl directly left of the empty desk waved her over. Fiona took the seat.
	The girl leaned over, “Hi. I’m Meagan.”
	“Fiona. Thanks.”
	“No sweat. It’s hard being the new kid.”
	“Truth.”
	The teacher rudely cleared her throat, “Ah-hem! Ladies, do you mind?”
	Meagan spoke, “Sorry, Mrs. Shandy.”
	“Let’s get to it, shall we? The first assignment this semester is a partner performance piece on a Shakespeare play.”
	The class erupted in groans and noisy protestations. “Come now, everyone. The first step to understanding any Shakespeare piece is to perform it. Then you will write a—”
	The class cut the teacher off with a firestorm of no-crap-not-Shakespeare-again.
	“Now, let’s get down to partners, shall we?” the teacher said.
	Fiona dreaded the idea of being partnered with someone she didn’t know.
	Meagan raised her hand. “Can we pick our own?”
	“No. I’ve already assigned pairs and plays for the project.” Mrs. Shandy began reading the list of names. Fiona listened for her name and prayed it would be someone who liked Shakespeare.
	“Mr. Martinez aaaand…Oh, what did I write?” Mrs. Shandy looked up and said, “Ah, Miss Fiona Lavender. You both have Romeo and Juliet. Try to do it justice.” 	Fiona’s heart sank. Which guy is Mr. Martinez? She was afraid to look around the room. But she didn’t have to bother. The broad shouldered guy in front of her turned around.
	“I guess we’ll be working together.” He said to Fiona. “Hope you like Shakespeare. I’m Dario.” Fiona looked up and noticed his smile tilted higher on the left.
	“Hi. Fiona.” She was going to melt under her desk if his smile got any bigger. He had one of those dangerous Zac Efron-type smiles, a smile that could render a girl senseless if she wasn’t vigilant.
	“I know,” he said. Fiona dared to meet his gaze. His irises shone like dark caramel. They swept her up like a hot Savannah wind when she caught the wink he gave her. Instead of calming her, his gesture released the butterflies from the net in her stomach. They fluttered and flitted, until she blushed. Surely he was the cutest guy she’d ever seen, or who had ever spoken to her.
***
Dario turned back around to face Mrs. Shandy. He couldn’t believe his luck. He got the new girl. She didn’t look like she belonged in Sierra Crest. In fact, she looked like she belonged in a book. She was definitely not a sun worshiper like the other girls around here. She was as pale as any girl he’d ever seen, especially in September when all the other girls were as tan as they could possibly get. Her raven black hair hung down her back and big bouncy curls spilled over one shoulder. Long pretty hair on a girl was his personal weakness, but it was her pale gray eyes that stunned him into the smile he still couldn’t wipe off his face. His emotions bubbled to a chuckle and he shook his head.
	“Mr. Martinez? Something you’d like to share?” Mrs. Shandy asked.
	“No ma’am.” He reined in his wild smile, biting his bottom lip.
	“This isn’t football practice,” the teacher reminded, as she surveyed her new students, “although, I’d bet half the team is in this room.”
	Bold male laughter bounced around the classroom and a distinct laughter rose above the rest. Dario turned to look at his best friend, Ryan. 
	Dario’s phone buzzed a text. He pulled his phone from his front pocket to read the message.
	Ryan: that chick is hot
	Dario: kill it
	Ryan: really dude she’s hot. Lucky u. 
	Dario: well...i can’t help it if I’m lucky :)
	“The bell’s about to ring, so I suggest you all exchange phone numbers or emails, so you can communicate about your projects.”
	“No one uses email any more, Mrs. Shandy,” Ryan shook his head.
	“I do,” Mrs. Shandy responded. “I’m old fashioned.”
	“Hashtag that, Mrs. Shandy.”
	“Hashtag what?”
	“What you just said. ‘Old fashioned.’ Twitter, Mrs. Shandy.”
	“I don’t have a twitter account. My phone doesn’t even have internet.”
	“You gotta get with this century!”
	“Ryan, exchange your information, please.” Mrs. Shandy pursed her lips.
	“If you insist.” He immediately sent a text. “I’m set.” Ryan looked up with a smug grin. The teacher shot back a mental eye-dagger right to the middle of his forehead with her squinted eye. Dario pulled out his phone and texted:
	Dario: Dude and you wonder why she hates you!
	Ryan: what do i care?
	Dario: unbelievable
	Dario turned back around to face the gray-eyed girl he’d already named Fine Fiona in his mind. “So, do you have a number?”
	“Sure,” Fiona said. He watched her look down at her hands and realized she was a little shy.
	“Well? Are you going to give it to me?”
	“I don’t know my number.”
	“That could be a problem, Fiona Lavender.”
	“I mean, I just got a new phone and I’m not sure what the number is.”
	“Easy. Text me, then we’ll both have your number.” He wrote his number upside down on her paper.
	“Okay.” Fiona sent a message.
	“Looks like your number is—” He turned the phone around so Fiona could see it. 	She wrote the number down on the top of her English homework right under his.
	“Thanks,” she said.
	“Anytime. I have practice everyday until about eight, so if we’re gonna get any work done, we’re gonna have to do it after eight. Or on the weekends.”
	“Sure,” she said.
	The bell rang and Dario stood up. “See you later, Fiona.” He left with the rest of the class hastily exiting for the next one.
	Fiona couldn’t believe she got partnered with Dario. He looked like “that guy” in magazine ads: chiseled, with a brilliant smile. She checked her schedule. Math M-7. Where the heck is M-7? 
	“Hey, Fee. Can I call you Fee?”
	Fiona looked up. It was Meagan. “Sure.” Fiona shrugged.
	“Okay, then Fee. What’s your next class?”
	“Math. M-7.”
	“Ugh. You have Mr. Cuckoo.”
	Fiona laughed. “His name is Cuckoo?”
	“Oh course not. He’s just cuckoo.” She whirled her finger in a circle aimed at her temple. “You know. Cray-cray.”
	“Great,” Fiona said.
	“Nah, don’t worry. He passes everyone. And can I say, Mr. Dario Martinez? Damn girl, you got the luckiest straw in the room. Probably the whole entire school.”
	“Really?” Fiona asked.
	“Truth.” Meagan confirmed.
***
Ryan pulled his helmet off to drink from the water hose. The fall sun burned dry and hot across the sky, making football practice more miserable than usual. He wiped the dirty sweat from his eyes with the corner of his jersey. He doused his head under the hose. 
	Dario walked up behind Ryan. “Hey, do you know what time is it?” he asked. 
	“Barely five o’clock, bro,” Ryan answered. “You’d better get back to practice before coach has a corollary.”
	“I just stepped off the field. Besides, he’s not even looking at us. And you mean coronary.”
	“That’s what I said, coronary. And who are you? My English teacher or something?” Ryan punched the star quarterback a little too hard in the shoulder pad. It pissed him off every time Dario was right about something he was wrong about. 
	“Hey! Easy boy! Didn’t mean to get your boxers all twisted up like that.”
	“Nah, man. It’s cool.” Ryan shook his irritation off with a slight shrug. “I didn’t hurt your feelings did I?”
	“Yes, yes you did,” Dario laughed and put his helmet back on, snapping it under his chin. “Right here in my heart, Ryan!” He patted his chest pad and trotted off. “In my heart, bro!” he yelled over his shoulder.
	Ryan called after him, “You suck, Dario!” Jerkwad, he thought, as he heard Dario laugh it off like he always did. Like he shrugged off everything. Dario was king of the field. Tall. Good looking. All-American. Everyone loved Dario, the guys, the girls, the teachers…everyone. Even he loved Dario, as much as he hated him. The difference in their personalities and skill struck Ryan like a calculated right hook, once again. But this time, it hit him so hard his jealousy sprang to a life of its own. It swam through his blood. As it gathered up strength, it took on form and purpose. It slithered on its belly. It coiled like an angry viper ready to strike. In that very moment, Ryan decided he would bring Dario back to planet Earth. Whatever I have to do, I’ll make him see he’s no better than the rest of us.
	“Hey, Dario! Wait up!”
	Dario turned around and waved his friend to hustle back to practice.
***
After practice, the team hit the locker room. Ryan went straight for his locker next to Dario’s. He yanked off his dirty jersey and threw it on the ground. 
	“Great practice, Ryan. All that weight training is paying off.”
	“You don’t have to say that. I’m never gonna start as quarterback. You and I both know that.” 
	“Coach Green might put you in. You never know what might happen.”
	Ryan considered Dario for a moment. “Huh. Thanks, but you and I both know you’re his favorite.” 
	“Just because I’m planning on USC doesn’t mean—”
	“Hey, Dario. Can I ask you something?” Ryan asked.
	“Sure. What?” Dario answered. He swiped each armpit with fresh deodorant waiting for Ryan’s question.
	“Ever think you want to get bigger? You know for USC, I mean.”
	“Bigger how? Lifting more weights?”
	“Kind of. But…you know…with a little help?”
	“Steroids?” Dario asked a little too loud.
	“Shh! You trying to advertise or something?” 
	“I don’t give one piss if anyone hears me.” Dario threw his damp jersey into his locker. “That’s gonna be ripe by practice this afternoon.”
	“Well?” Ryan pushed for an answer.
	“Well, what?”
	“Well, would you ever use steroids to help you out? Get a little mass?”
	“I got mass enough, bro. Look at these guns.” Dario flexed his right bicep into a perfect ball of muscle.
	“But, wouldn’t you like to get bigger? Those guys at USC are gonna dwarf you, dude.”
	“Maybe. I don’t know. Maybe. Sometimes I worry USC will get someone bigger. Faster. I don’t know.” Dario shrugged. “I guess I wouldn’t rule it out. If I had to, I mean.”
	“That’s what I thought,” Ryan said.
	“Why do you care so much about USC?”
	“Just looking out for you. That’s all.”
	“You’re a trip, Ryan. Seriously, dude.” Dario scratched his head. “Seriously.” 
***
When Fiona got home, she tossed her backpack on the floor by the front door. The spicy sweetness of her mom’s tomato sauce hung in the air. She followed her nose to the kitchen. Her mom stood at the stove stirring a huge pot of boiling pasta and a pan of simmering red sauce. Spaghetti was on the menu.
	“Hey, Mom,” Fiona announced her presence.
	Her mom turned, wiping a stray hair behind her ear with her free wrist. “How was school, honey?” she sniffed.
	“Fine. Are you crying?”
	“No. I was chopping onions. How were your classes?”
	“Fine. I guess.”
	“Did you make any friends?” her mom asked.
	“I guess.”
	“And who is this maybe friend?”
	“Dario.”
	“A boy?”
	“I mean Meagan. I met this girl named Meagan.” Fiona couldn’t believe she’d let Dario’s name out of her bag of secrets. She never talked to her mom about boys, even though her mother always asked. The only time they’d had a mutually agreed upon convo about boys was when she was getting the birds and bees 4-1-1. And she only listened to that because she’d started her period, and the whole experience freaked her out more than she thought it would.
	“I see. So, no one named Dario?”
	“No. I mean, yes. Ah! Mom, it’s not like that,” Fiona said in exasperation.
	“How is it like, then?”
	“He’s my English project partner.”
	“An assignment already? That’s good.”
	“I guess.”
	“What’s the assignment?”
	“What’s with the twenty questions?” Fiona snarled.
	Fiona’s mother smacked the wooden spoon against the edge of the sauce pan. “No call for rudeness.”
	“Sorry, Mom. You just ask so many stupid questions. I don’t want to talk about school anymore. It was fine. I’m fine. It’s all fine.”
	“Do you feel like talking about what happened with Dominic?”
	“No. I don’t want to talk about him again. And especially not with you.”
	Fiona’s mom turned her attention back to the pots on the stove. Fiona stormed out of the kitchen and up to her room for the night. She slammed the door just in case she wasn’t clear enough about her state of mind.
***
Fiona lay on the bed staring at the ceiling. The thought of Dario’s smile still teased the butterflies in her stomach. I wonder if he’ll text tonight? She pulled her phone out from under her pillow and stared at the glowing screen jammed with apps. He’s probably busy. Oh, god what if he’s a jerk to work with? I’m gonna end up doing all the work. He probably is a jerk. As she tossed the phone on the pillow, it jingled an incoming message.
“What the—?” Fiona grabbed the phone, closed her eyes and made a wish, then looked. 	As if by some magical cell phone telepathy, it was Dario. She opened the conversation bubble.
	Dario: Hey (:
	Fiona: Hey back
	Dario: How was 1st day @ school?
	Fiona: Decent.
	Dario: Cool (: Did you read anything?
	Fiona: No. Did you?
	Dario: Just scene 1
	Fiona: I’ll catch up. Promise.
	Dario: Cool. So wanna get together Saturday? To work?
	Fiona: Sure.
	The butterflies fluttered. Saturday! She smiled as a wave of giddiness tickled her from head to toe.
	Dario: Where? Your house?
	Fiona looked around her room. A set of white Christmas lights lined the perimeter of her room, and wrinkled clothes were strewn across the floor. Her grandmother’s oak dresser with attached round mirror stood against the wall opposite her bed. Several drawers refused to shut because T-shirts and jeans draped over their edges, spilling into piles on the floor. She’d pinned a poster of fairies dancing in a circle to the wall above her headboard because it reminded her of A Mid-Summer Night’s Dream. On top of her bed, in his place of honor, sat her beloved Mr. Lion-Bear.
	“I’m gonna have to clean my room,” she said. 
	Fiona: Sure
	Dario: Cool (: See ya in class & sat.
	Fiona giggled and reached for her English anthology. She scanned the index until she found Romeo and Juliet by William Shakespeare. Ah-ha. Page nine-hundred ninety-eight. She opened the textbook and started reading.

Chapter 3
Dario’s alarm blared at 5:45 AM. He reached over and shut it off and laid still, listening to the quiet sounds of the house. He needed the quiet dark to reassure him that all was well. No yelling. No screaming. No crying. Just quiet.
	He rolled over and groaned with the soreness of yesterday’s football practice. He smelled the coffee brewing and knew his mom was already up. He threw the covers off and slid out of bed. He was still thinking about the new girl, Fiona, when he stumbled into the bathroom and tripped over the fancy carpet his mom had put on the floor. He caught his arm wrong against the counter trying to keep his balance. 
	“Mom!”
	“What?!” she yelled back. “Quit yelling so early in the morning!”
	“You’re yelling back!” he hollered. He closed the bathroom door so he could brush his teeth and wet his hair before heading to the kitchen. He spoke to his reflection in the mirror above the sink, “Great, Martinez! You had to yell back.” He heard his dad’s slippered feet coming down the hall.
	Passing by the door, his dad grumbled, “Thanks for waking me up so early, Son.” He made the triple-dad-knock a little harder than usual on the door. “At least Mom has coffee ready.”
	Dario spit out the minty foam and rinsed. “Sorry, Dad.” He stepped back to observe his reflection in the mirror: left side, right side, smiled big examining his teeth. Fine Fiona.
	He entered the kitchen a little worried his dad would be in a sour mood. “Morning, Mom. Dad,” Dario said.
	His mom flipped over several pieces of golden French toast on the counter griddle. 	“Good morning, Son,” his mom said over her shoulder. “French toast?”
	Dario took his usual seat at the table. His dad’s face was buried in the newspaper. 	“French toast?  What’s the occasion? Can I have a cup of coffee, too?”
	“Does there have to be a reason?” She filled his mug and set a plate piled with French toast in front of him.
	“No.” Dario sipped his coffee and shoved a huge forkful of bread smothered in syrup into his mouth. “You don’t usually make French toast on a school day.”
	“Don’t talk with your mouth full,” his mom scolded.
	“You heard your Mother.” His dad finally joined the conversation.  
	Dario swallowed the next mouthful of breakfast washed down with black brew. 	“Sorry.” 
	“You don’t know what today is?” his mother asked.
	“I knew it!” Dario laughed. He cut another small stack of bread and swirled it in the syrup and shoved it in his mouth.
	His father finally laid the paper down and his big goofy grin widened as he tossed an unopened letter toward Dario. “Open it.”
	Dario picked it up with his free hand. He read the address: USC Office of Financial Services. He looked up at his parents who were waiting expectantly for him to open it. His dad flicked the envelope a little closer to Dario.  “Well?! Open it before we die of old age already.”
	Dario put his fork down. He considered the envelope from every possible angle, prolonging his parents’ agony. Then, he carefully slid his thumb under the corner edge of the back flap and tore it.
	“I just grew another gray hair,” his father said flatly. “Give it to me. I’ll do it.” His dad made a fake reach for the envelope.
	“Ah-Ah-Ah! I’ve got it.” Dario pulled the letter to his chest. “Geez, Dad!”
	“Fine. Hurry up, Son.”
	He ripped down the side of the envelope and squeezed the opening, gripping the letter’s edge. With deliberate slowness, he extricated the letter like he was performing surgery.
	“Quit being so crazy-crazy,” his mom said. She took a seat at the table, plunking her coffee mug down. 
	“Mom, it’s cray-cray,” Dario said. He carefully unfolded the multi-paged letter.
	“It has to be good news. They don’t send that many pages for a rejection,” his mom said.
	“Mom, please.”
	“All right. Read, damn it.”
	“Mom, your language,” Dario said. He flipped to the next page and looked up completely stone-faced.
	“Oh, God!” His dad’s face went white.
	Dario unleashed the grin he’d held in check. “Dad, chill. I got the full scholarship. All four years. I’m going to USC next Fall.”
	His father jumped up from the table, spilling his coffee with the newspaper he carelessly threw down. “Yippie!” He pulled his wife into a slow dance in the middle of the kitchen. He twirled, sashayed, and dipped her, and kissed her right on the mouth.
	“Okay, parents.” Dario pushed his chair away from the table. “That’s enough togetherness for me. I gotta get to school.”
	His father, still kissing his mother, waved him off. Dario shook his head trying not to think of his parent’s love life. He was glad they loved each other, but he didn’t need the visuals. Dario left the house smiling. He’d gotten the scholarship. It was now official.
***
